,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
190,"$924,900",5,4,"4,021","2440 Mount Royal Rd,Pittsburgh, PA 15217","$883,800",Single family residence,Built in 1965,"Natural gas, forced air",Electric,2 Attached garage spaces,"9,748 sqft",$230 price/sqft,https://www.zillow.com/homedetails/2440-Mount-Royal-Rd-Pittsburgh-PA-15217/11289863_zpid/,15217
191,"$444,900",6,4,"2,327","5582 Pocusset St,Pittsburgh, PA 15217","$438,500",Single family residence,Built in 1918,"Natural gas, hot water",Window a/c,Open parking,"6,030 sqft",$191 price/sqft,https://www.zillow.com/homedetails/5582-Pocusset-St-Pittsburgh-PA-15217/11635354_zpid/,15217
192,"$220,000",4,2,"1,254","664 Montclair St,Pittsburgh, PA 15217","$210,900",Single family residence,Built in 1930,"Natural gas, forced air",No data,1 Open parking space,"2,252 sqft",$175 price/sqft,https://www.zillow.com/homedetails/664-Montclair-St-Pittsburgh-PA-15217/11545239_zpid/,15217
193,"$199,000",3,2,--,"3330 Guy St,Pittsburgh, PA 15217","$195,900",Single family residence,Built in 1910,No data,No data,No data,"3,001 sqft",,https://www.zillow.com/homedetails/3330-Guy-St-Pittsburgh-PA-15217/164703720_zpid/,15217
194,"$1,099,000",5,4,"4,392","1140 S Negley Ave,Pittsburgh, PA 15217","$1,047,900",Single family residence,Built in 1906,"Natural gas, hot water","Central air, electric",2 Garage spaces,"6,220 sqft",$250 price/sqft,https://www.zillow.com/homedetails/1140-S-Negley-Ave-Pittsburgh-PA-15217/11629486_zpid/,15217
195,"$899,999",6,3,"3,386","1331 Beechwood Blvd,Pittsburgh, PA 15217","$872,200",Single family residence,Built in 1909,"Natural gas, hot water",Central air,1 Garage space,"7,500 sqft",$266 price/sqft,https://www.zillow.com/homedetails/1331-Beechwood-Blvd-Pittsburgh-PA-15217/11629992_zpid/,15217
196,"$895,000",6,3,"3,128","5812 Northumberland St,Pittsburgh, PA 15217","$892,000",Single family residence,Built in 1911,"Natural gas, hot water","Central air, electric",2 Garage spaces,No data,$286 price/sqft,https://www.zillow.com/homedetails/5812-Northumberland-St-Pittsburgh-PA-15217/11630763_zpid/,15217
197,"$405,000",3,2,"1,326","2257 Shady Ave,Pittsburgh, PA 15217","$386,900",Single family residence,Built in 1932,"Natural gas, forced air",Window a/c,2 Attached garage spaces,"8,206 sqft",$305 price/sqft,https://www.zillow.com/homedetails/2257-Shady-Ave-Pittsburgh-PA-15217/11635048_zpid/,15217
198,"$395,000",5,2,"2,190","5516 Bartlett St,Pittsburgh, PA 15217","$390,900",Townhouse,Built in 1910,"Natural gas, hot water",Window a/c,1 Garage space,"2,469 sqft",$180 price/sqft,https://www.zillow.com/homedetails/5516-Bartlett-St-Pittsburgh-PA-15217/11631755_zpid/,15217
199,"$425,000",3,3,"2,085","6300 Alderson St,Pittsburgh, PA 15217","$407,900",Single family residence,Built in 1926,"Natural gas, hot water",Central air,Off street,"5,627 sqft",$204 price/sqft,https://www.zillow.com/homedetails/6300-Alderson-St-Pittsburgh-PA-15217/11635934_zpid/,15217
200,"$319,000",--,--,--,"764 Hazelwood Ave,Pittsburgh, PA 15217","$314,500",Duplex,Built in 1903,No data,No data,1 Parking space,,,https://www.zillow.com/homedetails/764-Hazelwood-Ave-Pittsburgh-PA-15217/11639887_zpid/,15217
201,"$549,000",3,4,"1,584","5552 Darlington Rd,Pittsburgh, PA 15217","$523,500",Townhouse,Built in 1985,No data,Central air,2 Attached garage spaces,"3,641 sqft",$347 price/sqft,https://www.zillow.com/homedetails/5552-Darlington-Rd-Pittsburgh-PA-15217/11631349_zpid/,15217
202,"$1,100,000",4,4,"4,326","5700 Lynne Haven Rd,Pittsburgh, PA 15217","$1,026,600",Single family residence,Built in 1928,"Natural gas, hot water",Central air,4 Attached garage spaces,No data,$254 price/sqft,https://www.zillow.com/homedetails/5700-Lynne-Haven-Rd-Pittsburgh-PA-15217/11629427_zpid/,15217
203,"$285,000",3,1,"1,486","961 Deely St,Pittsburgh, PA 15217","$284,000",Single family residence,Built in 1912,Natural gas,Window a/c,1 Garage space,"2,252 sqft",$192 price/sqft,https://www.zillow.com/homedetails/961-Deely-St-Pittsburgh-PA-15217/11639275_zpid/,15217
204,"$174,900",4,2,"2,151","730 Montclair St,Pittsburgh, PA 15217","$170,600",Single family residence,Built in 1910,"Natural gas, hot water",No data,Open parking,No data,$81 price/sqft,https://www.zillow.com/homedetails/730-Montclair-St-Pittsburgh-PA-15217/11639929_zpid/,15217
205,"$275,000",3,2,"1,340","3346 Beechwood Blvd,Pittsburgh, PA 15217","$291,700",Single family residence,Built in 1960,"Natural gas, forced air",Central air,1 Attached garage space,"10,175 sqft",$205 price/sqft,https://www.zillow.com/homedetails/3346-Beechwood-Blvd-Pittsburgh-PA-15217/11639995_zpid/,15217
206,"$485,000",2,3,"1,600","1406 Fairstead Ln,Pittsburgh, PA 15217","$480,200",Townhouse,Built in 2005,"Natural gas, forced air",Central air,2 Garage spaces,"2,103 sqft",$303 price/sqft,https://www.zillow.com/homedetails/1406-Fairstead-Ln-Pittsburgh-PA-15217/87991663_zpid/,15217
207,"$325,000",3,1,"1,570","5620 Phillips Ave,Pittsburgh, PA 15217","$325,000",Townhouse,Built in 1920,Natural gas,Central air,No data,"2,435 sqft",$207 price/sqft,https://www.zillow.com/homedetails/5620-Phillips-Ave-Pittsburgh-PA-15217/11634829_zpid/,15217
208,"$234,900",1,2,912,"517 Bigelow St,Pittsburgh, PA 15207","$232,500",Single family residence,Built in 1936,"Natural gas, forced air",Central air,1 Parking space,"3,850 sqft",$258 price/sqft,https://www.zillow.com/homedetails/517-Bigelow-St-Pittsburgh-PA-15207/11545076_zpid/,15207
209,"$229,900",3,3,"1,224","4320 Bristol St,Pittsburgh, PA 15207","$230,000",Single family residence,Built in 1960,"Natural gas, forced air",Central air,2 Attached garage spaces,"2,400 sqft",$188 price/sqft,https://www.zillow.com/homedetails/4320-Bristol-St-Pittsburgh-PA-15207/11544878_zpid/,15207
210,"$250,000",--,--,--,"4119-4121 Lydia St,Pittsburgh, PA 15207","$242,400",Duplex,Built in 1925,No data,No data,1 Attached garage space,,,https://www.zillow.com/homedetails/4119-4121-Lydia-St-Pittsburgh-PA-15207/11540202_zpid/,15207
211,"$310,000",3,2,"1,180","4139 Winterburn Ave,Pittsburgh, PA 15207","$298,800",Single family residence,Built in 1920,"Natural gas, hot water",Window a/c,2 Parking spaces,"2,879 sqft",$263 price/sqft,https://www.zillow.com/homedetails/4139-Winterburn-Ave-Pittsburgh-PA-15207/11540227_zpid/,15207
212,"$183,000",3,3,"1,656","568 Hazelwood Ave,Pittsburgh, PA 15207","$181,300",Single family residence,Built in 1830,"Natural gas, hot water",Window a/c,3 Parking spaces,0.39 Acres,$111 price/sqft,https://www.zillow.com/homedetails/568-Hazelwood-Ave-Pittsburgh-PA-15207/11545458_zpid/,15207
213,"$195,000",3,1,"1,016","248 Blackstone St,Pittsburgh, PA 15207","$184,400",Single family residence,Built in 1920,"Natural gas, forced air",Central air,2 Parking spaces,"1,999 sqft",$192 price/sqft,https://www.zillow.com/homedetails/248-Blackstone-St-Pittsburgh-PA-15207/11545713_zpid/,15207
214,"$290,000",5,2,"1,725","667 Frayne St,Pittsburgh, PA 15207","$290,000",Single family residence,Built in 1928,"Natural gas, forced air",Central air,3 Parking spaces,"3,150 sqft",$168 price/sqft,https://www.zillow.com/homedetails/667-Frayne-St-Pittsburgh-PA-15207/11545332_zpid/,15207
215,"$134,900",3,2,"1,067","5135 Interboro Ave,Pittsburgh, PA 15207","$135,800",Single family residence,Built in 1950,"Natural gas, forced air",Central air,1 Garage space,"7,200 sqft",$126 price/sqft,https://www.zillow.com/homedetails/5135-Interboro-Ave-Pittsburgh-PA-15207/11351757_zpid/,15207
216,"$300,000",--,--,--,"5009 2nd Ave,Pittsburgh, PA 15207","$277,500",Multifamily,Built in 1915,No data,No data,2 Open parking spaces,,,https://www.zillow.com/homedetails/5009-2nd-Ave-Pittsburgh-PA-15207/2068001779_zpid/,15207
217,"$130,000",3,2,"1,604","667 Baldwin Rd,Pittsburgh, PA 15207","$129,200",Single family residence,Built in 1900,"Natural gas, forced air","Central air, electric",5 Parking spaces,"5,227 sqft",$81 price/sqft,https://www.zillow.com/homedetails/667-Baldwin-Rd-Pittsburgh-PA-15207/11299950_zpid/,15207
218,"$185,000",3,2,"1,344","222 Johnston Ave,Pittsburgh, PA 15207",None ,Single family residence,Built in 1920,Natural gas,Central air,2 Open parking spaces,"3,092 sqft",$138 price/sqft,https://www.zillow.com/homedetails/222-Johnston-Ave-Pittsburgh-PA-15207/11550981_zpid/,15207
219,"$199,900",3,1,"1,328","4223 Shields St,Pittsburgh, PA 15207","$216,800",Single family residence,Built in 1900,"Natural gas, forced air",Central air,No data,"1,833 sqft",$151 price/sqft,https://www.zillow.com/homedetails/4223-Shields-St-Pittsburgh-PA-15207/11544696_zpid/,15207
220,"$329,250",4,3,--,"629 Blanton St,Pittsburgh, PA 15207",Last Sale,Single family residence,Built in 1912,Natural gas,Electric,Open parking,"1,921 sqft",,https://www.zillow.com/homedetails/629-Blanton-St-Pittsburgh-PA-15207/11540269_zpid/,15207
221,"$279,900",3,2,"1,594","5706 Keefe St,Pittsburgh, PA 15207","$279,900",Single family residence,Built in 1961,"Natural gas, forced air",Central air,2 Attached garage spaces,0.26 Acres,$176 price/sqft,https://www.zillow.com/homedetails/5706-Keefe-St-Pittsburgh-PA-15207/11352250_zpid/,15207
222,"$124,900",3,2,"1,260","620 Calera St,Pittsburgh, PA 15207","$124,900",Single family residence,Built in 1947,Natural gas,Central air,Open parking,"2,435 sqft",$99 price/sqft,https://www.zillow.com/homedetails/620-Calera-St-Pittsburgh-PA-15207/11299914_zpid/,15207
223,"$300,000",--,--,--,"4942 2nd Ave,Pittsburgh, PA 15207",None ,Duplex,Built in 1896,No data,No data,3 Parking spaces,,,https://www.zillow.com/homedetails/4942-2nd-Ave-Pittsburgh-PA-15207/11550368_zpid/,15207
224,"$90,000",--,--,--,"1231 Rodgers St,Pittsburgh, PA 15207","$85,800",Duplex,Built in 1921,No data,No data,Off street,,,https://www.zillow.com/homedetails/1231-Rodgers-St-Pittsburgh-PA-15207/11351941_zpid/,15207
225,"$99,000",3,2,--,"322 Johnston Ave,Pittsburgh, PA 15207","$117,900",Single family residence,Built in 1900,"Natural gas, hot water",No data,1 Open parking space,No data,,https://www.zillow.com/homedetails/322-Johnston-Ave-Pittsburgh-PA-15207/11551063_zpid/,15207
226,"$219,000",2,1,964,"217 Ilion St,Pittsburgh, PA 15207","$219,000",Single family residence,Built in 1930,"Natural gas, forced air",Central air,4 Garage spaces,"2,790 sqft",$227 price/sqft,https://www.zillow.com/homedetails/217-Ilion-St-Pittsburgh-PA-15207/11544898_zpid/,15207
227,"$300,000",--,--,--,"4940 2nd Ave,Pittsburgh, PA 15207",None ,Duplex,Built in 1895,No data,No data,2 Parking spaces,,,https://www.zillow.com/homedetails/4940-2nd-Ave-Pittsburgh-PA-15207/11550367_zpid/,15207
228,"$144,900",3,1,--,"3919 Nantasket St,Pittsburgh, PA 15207","$138,400",Townhouse,Built in 1909,"Natural gas, forced air",Central air,No data,"1,350 sqft",,https://www.zillow.com/homedetails/3919-Nantasket-St-Pittsburgh-PA-15207/11539794_zpid/,15207
229,"$179,900",3,1,--,"3917 Nantasket St,Pittsburgh, PA 15207","$174,700",Townhouse,Built in 1909,"Natural gas, forced air",Central air,No data,"1,350 sqft",,https://www.zillow.com/homedetails/3917-Nantasket-St-Pittsburgh-PA-15207/11539793_zpid/,15207
230,"$233,000",3,2,"1,500","4539 Parnell St,Pittsburgh, PA 15207","$232,500",Single family residence,Built in 1900,"Electric, forced air",Central air,1 Garage space,"3,123 sqft",$155 price/sqft,https://www.zillow.com/homedetails/4539-Parnell-St-Pittsburgh-PA-15207/11545383_zpid/,15207
231,"$230,000",--,--,--,"1417 Muldowney Ave,Pittsburgh, PA 15207",None ,Duplex,Built in 1906,No data,No data,4 Parking spaces,,,https://www.zillow.com/homedetails/1417-Muldowney-Ave-Pittsburgh-PA-15207/11351920_zpid/,15207
