,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
17,"$299,000",3,2,"2,033","95 McCandless Ave,Pittsburgh, PA 15201","$298,500",Single family residence,Built in 1930,"Natural gas, forced air",No data,4 Attached garage spaces,No data,$147 price/sqft,https://www.zillow.com/homedetails/95-McCandless-Ave-Pittsburgh-PA-15201/11612527_zpid/,15201
18,"$192,000",4,2,"1,459","5317 McCandless Ave,Pittsburgh, PA 15201","$189,200",Single family residence,Built in 1950,"Natural gas, forced air",Central air,Open parking,"2,151 sqft",$132 price/sqft,https://www.zillow.com/homedetails/5317-McCandless-Ave-Pittsburgh-PA-15201/11615344_zpid/,15201
19,"$185,000",2,1,"1,114","5315 Wickliff St,Pittsburgh, PA 15201","$180,700",Single family residence,Built in 1900,"Natural gas, forced air",No data,Open parking,"1,559 sqft",$166 price/sqft,https://www.zillow.com/homedetails/5315-Wickliff-St-Pittsburgh-PA-15201/11614864_zpid/,15201
20,"$195,000",3,2,"1,181","1114 Stanton Ter,Pittsburgh, PA 15201","$195,200",Single family residence,Built in 1955,"Natural gas, forced air",No data,1 Attached garage space,"6,072 sqft",$165 price/sqft,https://www.zillow.com/homedetails/1114-Stanton-Ter-Pittsburgh-PA-15201/11615542_zpid/,15201
21,"$259,950",3,2,"1,269","1141 Oglethorpe Ave,Pittsburgh, PA 15201","$244,500",Single family residence,Built in 1939,"Natural gas, hot water",Window a/c,2 Parking spaces,"3,497 sqft",$205 price/sqft,https://www.zillow.com/homedetails/1141-Oglethorpe-Ave-Pittsburgh-PA-15201/11275317_zpid/,15201
22,"$144,900",2,1,"1,216","5627 Carnegie St,Pittsburgh, PA 15201","$141,500",Single family residence,Built in 1900,"Natural gas, forced air",No data,Open parking,"1,498 sqft",$119 price/sqft,https://www.zillow.com/homedetails/5627-Carnegie-St-Pittsburgh-PA-15201/11275195_zpid/,15201
23,"$379,000",2,2,"1,170","166-166.5 38th St,Pittsburgh, PA 15201","$370,700",Townhouse,Built in 1890,"Natural gas, forced air",Central air,2 Parking spaces,"1,298 sqft",$324 price/sqft,https://www.zillow.com/homedetails/166-166-5-38th-St-Pittsburgh-PA-15201/2067513135_zpid/,15201
24,"$245,000",3,2,"2,231","6026 Sawyer St,Pittsburgh, PA 15201",None ,Single family residence,Built in 1890,"Natural gas, forced air",Central air,2 Parking spaces,No data,$110 price/sqft,https://www.zillow.com/homedetails/6026-Sawyer-St-Pittsburgh-PA-15201/11275217_zpid/,15201
25,"$299,895",3,2,"1,000","5219 Poe Way,Pittsburgh, PA 15201","$297,900",Single family residence,Built in 1900,"Electric, zoned",Wall unit(s),1 Open parking space,"1,058 sqft",$300 price/sqft,https://www.zillow.com/homedetails/5219-Poe-Way-Pittsburgh-PA-15201/11612904_zpid/,15201
26,"$224,000",3,1,"1,214","6048 Sawyer St,Pittsburgh, PA 15201",None ,Single family residence,Built in 1898,Natural gas,"Central air, electric",2 Parking spaces,"2,400 sqft",$185 price/sqft,https://www.zillow.com/homedetails/6048-Sawyer-St-Pittsburgh-PA-15201/11275333_zpid/,15201
27,"$379,900",3,1,"1,788","4325 Stanton Ave,Pittsburgh, PA 15201","$352,900",Single family residence,Built in 1927,"Natural gas, forced air","Central air, electric, window a/c",2 Garage spaces,"5,279 sqft",$212 price/sqft,https://www.zillow.com/homedetails/4325-Stanton-Ave-Pittsburgh-PA-15201/11614967_zpid/,15201
28,"$215,000",1,1,720,"113 43rd 1/2 St,Pittsburgh, PA 15201","$207,800",Single family residence,Built in 1905,"Natural gas, forced air",Central air,Open parking,505.30 Sqft,$299 price/sqft,https://www.zillow.com/homedetails/113-43rd-1-2-St-Pittsburgh-PA-15201/87987931_zpid/,15201
29,"$429,900",2,2,"1,864","309 45th St,Pittsburgh, PA 15201","$421,600",Single family residence,Built in 1880,"Natural gas, forced air",Central air,2 Open parking spaces,"2,639 sqft",$231 price/sqft,https://www.zillow.com/homedetails/309-45th-St-Pittsburgh-PA-15201/11513165_zpid/,15201
30,"$210,000",2,2,982,"4926 Hatfield St,Pittsburgh, PA 15201","$205,200",Single family residence,Built in 1910,Natural gas,Wall unit(s),1 Parking space,"1,258 sqft",$214 price/sqft,https://www.zillow.com/homedetails/4926-Hatfield-St-Pittsburgh-PA-15201/11612758_zpid/,15201
31,"$475,000",--,--,--,"421 52nd St,Pittsburgh, PA 15201","$443,500",Triplex,Built in 1900,No data,No data,1 Attached garage space,,,https://www.zillow.com/homedetails/421-52nd-St-Pittsburgh-PA-15201/2085857895_zpid/,15201
32,"$199,900",3,1,"2,500","4602 Coleridge St,Pittsburgh, PA 15201","$195,600",Single family residence,Built in 1890,Natural gas,No data,1 Parking space,No data,$80 price/sqft,https://www.zillow.com/homedetails/4602-Coleridge-St-Pittsburgh-PA-15201/11615126_zpid/,15201
33,"$189,000",2,1,--,"5417 Carnegie St,Pittsburgh, PA 15201","$174,900",Single family residence,Built in 1900,"Natural gas, forced air",No data,No data,649.04 Sqft,,https://www.zillow.com/homedetails/5417-Carnegie-St-Pittsburgh-PA-15201/11272832_zpid/,15201
34,"$445,000",2,2,"1,600","335 39th St,Pittsburgh, PA 15201","$414,800",Single family residence,Built in 1900,"Natural gas, forced air",Central air,Open parking,760 Sqft,$278 price/sqft,https://www.zillow.com/homedetails/335-39th-St-Pittsburgh-PA-15201/11514635_zpid/,15201
35,"$475,000",4,2,"1,725","252 46th St,Pittsburgh, PA 15201","$466,300",Single family residence,Built in 1925,"Natural gas, forced air",Central air,1 Parking space,"1,184 sqft",$275 price/sqft,https://www.zillow.com/homedetails/252-46th-St-Pittsburgh-PA-15201/11513021_zpid/,15201
36,"$379,900",2,2,"1,320","187 42nd St,Pittsburgh, PA 15201","$372,500",Single family residence,Built in 1932,"Natural gas, forced air",Central air,1 Parking space,927.83 Sqft,$288 price/sqft,https://www.zillow.com/homedetails/187-42nd-St-Pittsburgh-PA-15201/11512976_zpid/,15201
37,"$225,000",1,2,--,"5623 Donson Way,Pittsburgh, PA 15201","$214,700",Single family residence,Built in 1900,"Natural gas, forced air",Central air,1 Parking space,"1,197 sqft",,https://www.zillow.com/homedetails/5623-Donson-Way-Pittsburgh-PA-15201/11275194_zpid/,15201
38,"$325,000",--,--,--,"174 45th St,Pittsburgh, PA 15201","$314,900",Duplex,Built in 1890,No data,No data,2 Garage spaces,,,https://www.zillow.com/homedetails/174-45th-St-Pittsburgh-PA-15201/11613486_zpid/,15201
39,"$349,000",2,2,--,"175 Almond Way,Pittsburgh, PA 15201","$336,700",Single family residence,Built in 1880,"Natural gas, forced air",Central air,Other,689.11 Sqft,,https://www.zillow.com/homedetails/175-Almond-Way-Pittsburgh-PA-15201/2067893185_zpid/,15201
40,"$225,000",3,1,"1,584","5235 Stanton Ave,Pittsburgh, PA 15201","$237,300",Single family residence,Built in 1900,"Natural gas, forced air",Window a/c,Open parking,"1,999 sqft",$142 price/sqft,https://www.zillow.com/homedetails/5235-Stanton-Ave-Pittsburgh-PA-15201/11612981_zpid/,15201
41,"$249,500",3,1,"1,250","1621 Hawthorne St,Pittsburgh, PA 15201","$248,100",Single family residence,Built in 1945,"Natural gas, forced air",Central air,1 Attached garage space,"3,497 sqft",$200 price/sqft,https://www.zillow.com/homedetails/1621-Hawthorne-St-Pittsburgh-PA-15201/11275158_zpid/,15201
42,"$619,000",3,3,"1,920","174 41st St,Pittsburgh, PA 15201","$597,300",Single family residence,Built in 1880,"Natural gas, forced air",Central air,No data,"1,591 sqft",$322 price/sqft,https://www.zillow.com/homedetails/174-41st-St-Pittsburgh-PA-15201/2067893051_zpid/,15201
43,"$365,000",2,2,"1,853","5264 Dresden Way,Pittsburgh, PA 15201","$350,800",Single family residence,Built in 1900,"Natural gas, forced air",Central air,2 Parking spaces,"2,000 sqft",$197 price/sqft,https://www.zillow.com/homedetails/5264-Dresden-Way-Pittsburgh-PA-15201/2081187350_zpid/,15201
44,"$529,900",3,3,--,"5110 Carnegie St,Pittsburgh, PA 15201","$526,000",Single family residence,Built in 1900,"Natural gas, forced air","Central air, wall unit(s)",2 Parking spaces,"2,000 sqft",,https://www.zillow.com/homedetails/5110-Carnegie-St-Pittsburgh-PA-15201/11612703_zpid/,15201
45,"$395,000",2,3,--,"295 45th St,Pittsburgh, PA 15201","$383,600",Single family residence,Built in 1900,"Natural gas, forced air",Central air,3 Parking spaces,"2,639 sqft",,https://www.zillow.com/homedetails/295-45th-St-Pittsburgh-PA-15201/11513157_zpid/,15201
46,"$148,500",2,1,--,"1127 Normahill Dr,Pittsburgh, PA 15201","$139,600",Townhouse,Built in 1940,"Natural gas, forced air",Central air,2 Parking spaces,"3,328 sqft",,https://www.zillow.com/homedetails/1127-Normahill-Dr-Pittsburgh-PA-15201/11275322_zpid/,15201
47,"$230,000",1,2,--,"714 Leydon St,Pittsburgh, PA 15201","$219,800",Single family residence,Built in 1900,"Natural gas, forced air",Central air,Open parking,"2,208 sqft",,https://www.zillow.com/homedetails/714-Leydon-St-Pittsburgh-PA-15201/11614778_zpid/,15201
48,"$400,000",2,1,"1,378","264 45th St HOUSE 1,Pittsburgh, PA 15201",None ,Single family residence,Built in 1900,"Other, forced air",No data,Open parking,"1,600 sqft",$290 price/sqft,https://www.zillow.com/homedetails/264-45th-St-HOUSE-1-Pittsburgh-PA-15201/2078508398_zpid/,15201
49,"$350,000",3,1,"1,709","5224 Keystone St,Pittsburgh, PA 15201","$337,800",Single family residence,Built in 1900,Natural gas,Window a/c,Open parking,"2,099 sqft",$205 price/sqft,https://www.zillow.com/homedetails/5224-Keystone-St-Pittsburgh-PA-15201/11612404_zpid/,15201
50,"$425,000",3,3,"1,350","194 43 1/2 St,Pittsburgh, PA 15201","$409,400",Single family residence,Built in 1900,"Natural gas, forced air",No data,1 Parking space,"1,084 sqft",$315 price/sqft,https://www.zillow.com/homedetails/194-43-1-2-St-Pittsburgh-PA-15201/2068944024_zpid/,15201
51,"$369,900",4,3,"2,288","5136 Rosecrest Dr,Pittsburgh, PA 15201","$369,900",Single family residence,Built in 1960,Natural gas,Central air,2 Attached garage spaces,"8,006 sqft",$162 price/sqft,https://www.zillow.com/homedetails/5136-Rosecrest-Dr-Pittsburgh-PA-15201/11615910_zpid/,15201
52,"$329,900",3,2,"1,296","168 43rd St,Pittsburgh, PA 15201","$324,200",Single family residence,Built in 1900,"Natural gas, hot water",Central air,1 Open parking space,"1,481 sqft",$255 price/sqft,https://www.zillow.com/homedetails/168-43rd-St-Pittsburgh-PA-15201/11512967_zpid/,15201
53,"$284,900",3,2,"1,276","1560 Hawthorne St,Pittsburgh, PA 15201","$281,400",Single family residence,Built in 1944,"Natural gas, forced air",Central air,1 Attached garage space,"4,656 sqft",$223 price/sqft,https://www.zillow.com/homedetails/1560-Hawthorne-St-Pittsburgh-PA-15201/11275460_zpid/,15201
54,"$659,000",4,4,"2,800","5121 Keystone St,Pittsburgh, PA 15201","$636,400",Single family residence,Built in 2020,Natural gas,Central air,2 Parking spaces,"1,999 sqft",$235 price/sqft,https://www.zillow.com/homedetails/5121-Keystone-St-Pittsburgh-PA-15201/11612724_zpid/,15201
55,"$339,000",2,2,--,"177 Almond Way,Pittsburgh, PA 15201","$327,700",Single family residence,Built in 1880,"Natural gas, forced air",Central air,Other,689.11 Sqft,,https://www.zillow.com/homedetails/177-Almond-Way-Pittsburgh-PA-15201/2067893078_zpid/,15201
56,"$330,000",5,3,"1,908","3917 Liberty Ave,Pittsburgh, PA 15224","$317,300",Single family residence,Built in 1900,"Natural gas, hot water","Wall unit(s), window a/c",2 Open parking spaces,"1,999 sqft",$173 price/sqft,https://www.zillow.com/homedetails/3917-Liberty-Ave-Pittsburgh-PA-15224/11514722_zpid/,15224
57,"$299,000",3,3,"1,263","4917 Broad St,Pittsburgh, PA 15224","$291,100",Single family residence,Built in 1920,Other,Central air,2 Parking spaces,No data,$237 price/sqft,https://www.zillow.com/homedetails/4917-Broad-St-Pittsburgh-PA-15224/11520118_zpid/,15224
58,"$129,000",3,2,"1,600","715 N Mathilda St,Pittsburgh, PA 15224","$124,400",Single family residence,Built in 1900,"Natural gas, forced air",Central air,1 Parking space,"4,238 sqft",$81 price/sqft,https://www.zillow.com/homedetails/715-N-Mathilda-St-Pittsburgh-PA-15224/11519366_zpid/,15224
59,"$399,000",4,3,"2,187","248 1/2 S Winebiddle St,Pittsburgh, PA 15224","$433,500",Singlefamily,Built in 1930,"Natural gas, radiant",No data,2 Garage spaces,"1,860 sqft",$182 price/sqft,https://www.zillow.com/homedetails/248-1-2-S-Winebiddle-St-Pittsburgh-PA-15224/11520818_zpid/,15224
60,"$135,000",4,2,"1,520","5339 Kincaid St,Pittsburgh, PA 15224","$128,500",Single family residence,Built in 1900,"Natural gas, radiant",Window a/c,No data,"2,777 sqft",$89 price/sqft,https://www.zillow.com/homedetails/5339-Kincaid-St-Pittsburgh-PA-15224/11520517_zpid/,15224
61,"$649,000",--,--,--,"616 S Mathilda St,Pittsburgh, PA 15224","$635,000",Duplex,Built in 1910,No data,No data,Open parking,,,https://www.zillow.com/homedetails/616-S-Mathilda-St-Pittsburgh-PA-15224/11524773_zpid/,15224
62,"$239,900",4,1,"1,256","3922 1/2 Howley St,Pittsburgh, PA 15224","$232,000",Townhouse,Built in 1900,"Natural gas, hot water",No data,Open parking,"1,219 sqft",$191 price/sqft,https://www.zillow.com/homedetails/3922-1-2-Howley-St-Pittsburgh-PA-15224/164422876_zpid/,15224
63,"$319,000",3,2,"1,360","3936 Clement Way,Pittsburgh, PA 15224","$318,000",Single family residence,Built in 1910,Natural gas,Central air,1 Open parking space,801.50 Sqft,$235 price/sqft,https://www.zillow.com/homedetails/3936-Clement-Way-Pittsburgh-PA-15224/11514704_zpid/,15224
64,"$259,900",3,2,832,"313 Darsie St,Pittsburgh, PA 15224","$248,300",Single family residence,Built in 1900,"Natural gas, forced air",Electric,1 Open parking space,832 Sqft,$312 price/sqft,https://www.zillow.com/homedetails/313-Darsie-St-Pittsburgh-PA-15224/11515130_zpid/,15224
65,"$135,000",2,1,--,"4072 Woolslayer Way,Pittsburgh, PA 15224","$126,400",Townhouse,Built in 1900,No data,No data,Open parking,"2,522 sqft",,https://www.zillow.com/homedetails/4072-Woolslayer-Way-Pittsburgh-PA-15224/11514102_zpid/,15224
66,"$929,900",3,4,"2,500","4554 Penn Ave,Pittsburgh, PA 15224","$831,800",Townhouse,Built in 1900,"Natural gas, forced air",Central air,2 Garage spaces,"1,999 sqft",$372 price/sqft,https://www.zillow.com/homedetails/4554-Penn-Ave-Pittsburgh-PA-15224/11514152_zpid/,15224
67,"$325,000",--,--,--,"3932 Liberty Ave,Pittsburgh, PA 15224","$320,500",Duplex,Built in 1920,No data,No data,3 Parking spaces,,,https://www.zillow.com/homedetails/3932-Liberty-Ave-Pittsburgh-PA-15224/11402219_zpid/,15224
68,"$1,100,000",--,--,--,"4410-4412 Penn Ave,Pittsburgh, PA 15224","$1,009,300",Triplex,Built in 1920,No data,No data,6 Parking spaces,,,https://www.zillow.com/homedetails/4410-4412-Penn-Ave-Pittsburgh-PA-15224/2070009100_zpid/,15224
69,"$312,500",3,2,"1,120","212 Edmond St,Pittsburgh, PA 15224","$298,600",Townhouse,Built in 1910,"Natural gas, forced air","Central air, electric",Open parking,705.67 Sqft,$279 price/sqft,https://www.zillow.com/homedetails/212-Edmond-St-Pittsburgh-PA-15224/11520584_zpid/,15224
70,"$479,999",--,--,--,"4918 Liberty Ave,Pittsburgh, PA 15224","$447,500",Duplex,Built in 1900,No data,No data,1 Parking space,,,https://www.zillow.com/homedetails/4918-Liberty-Ave-Pittsburgh-PA-15224/2069512426_zpid/,15224
71,"$227,750",3,2,--,"254 Edmond St,Pittsburgh, PA 15224","$222,600",Single family residence,Built in 1910,"Natural gas, forced air",Central air,Off street,"1,184 sqft",,https://www.zillow.com/homedetails/254-Edmond-St-Pittsburgh-PA-15224/11520604_zpid/,15224
72,"$214,900",2,1,"1,500","3916 Woolslayer Way,Pittsburgh, PA 15224","$209,000",Single family residence,Built in 1890,"Natural gas, forced air",No data,Open parking,"1,219 sqft",$143 price/sqft,https://www.zillow.com/homedetails/3916-Woolslayer-Way-Pittsburgh-PA-15224/11514761_zpid/,15224
73,"$379,900",--,--,--,"4035 Howley St,Pittsburgh, PA 15224","$371,700",Duplex,Built in 1900,No data,No data,2 Garage spaces,,,https://www.zillow.com/homedetails/4035-Howley-St-Pittsburgh-PA-15224/11514823_zpid/,15224
74,"$146,900",3,1,--,"5016 Jordan Way,Pittsburgh, PA 15224","$142,200",Single family residence,Built in 1910,No data,No data,No data,"1,265 sqft",,https://www.zillow.com/homedetails/5016-Jordan-Way-Pittsburgh-PA-15224/11519917_zpid/,15224
75,"$199,900",2,1,896,"4426 Milgate St,Pittsburgh, PA 15224","$194,400",Single family residence,Built in 1900,"Natural gas, forced air",No data,Open parking,"1,398 sqft",$223 price/sqft,https://www.zillow.com/homedetails/4426-Milgate-St-Pittsburgh-PA-15224/11514251_zpid/,15224
76,"$424,900",3,3,"1,433","5008 Dearborn St,Pittsburgh, PA 15224","$417,900",Single family residence,Built in 1910,No data,Central air,Off street,"1,999 sqft",$297 price/sqft,https://www.zillow.com/homedetails/5008-Dearborn-St-Pittsburgh-PA-15224/11520055_zpid/,15224
77,"$625,000",4,4,"2,394","420 Noble St,Pittsburgh, PA 15232","$613,400",Single family residence,Built in 1900,"Natural gas, forced air","Central air, electric",1 Parking space,"3,487 sqft",$261 price/sqft,https://www.zillow.com/homedetails/420-Noble-St-Pittsburgh-PA-15232/11525366_zpid/,15232
78,"$1,100,000",--,--,--,"700 Ivy St,Pittsburgh, PA 15232","$1,044,300",Multifamily,,No data,No data,4 Parking spaces,,,https://www.zillow.com/homedetails/700-Ivy-St-Pittsburgh-PA-15232/2068379811_zpid/,15232
79,"$1,350,000",4,4,--,"5309 Westminster Pl,Pittsburgh, PA 15232","$1,258,500",Single family residence,Built in 1920,"Natural gas, forced air",Central air,1 Attached garage space,No data,,https://www.zillow.com/homedetails/5309-Westminster-Pl-Pittsburgh-PA-15232/11529368_zpid/,15232
80,"$525,000",5,3,--,"6229 5th Ave,Pittsburgh, PA 15232","$509,100",Single family residence,Built in 1926,"Natural gas, forced air",Central air,4 Attached garage spaces,"3,702 sqft",,https://www.zillow.com/homedetails/6229-5th-Ave-Pittsburgh-PA-15232/11625586_zpid/,15232
81,"$1,250,000",3,4,"3,099","5135 5th Ave #D,Pittsburgh, PA 15232","$1,167,200",Townhouse,Built in 2021,"Natural gas, forced air",Central air,2 Attached garage spaces,"1,450 sqft",$403 price/sqft,https://www.zillow.com/homedetails/5135-5th-Ave-D-Pittsburgh-PA-15232/2075600490_zpid/,15232
82,"$1,100,000",2,3,"2,151","5135 5th Ave #E,Pittsburgh, PA 15232","$1,055,500",Townhouse,Built in 2021,"Natural gas, forced air",Central air,2 Attached garage spaces,"1,450 sqft",$511 price/sqft,https://www.zillow.com/homedetails/5135-5th-Ave-E-Pittsburgh-PA-15232/2075609077_zpid/,15232
83,"$1,250,000",3,4,"3,099","5135 5th Ave #C,Pittsburgh, PA 15232","$1,166,600",Townhouse,Built in 2021,"Natural gas, forced air",No data,2 Attached garage spaces,837 Sqft,$403 price/sqft,https://www.zillow.com/homedetails/5135-5th-Ave-C-Pittsburgh-PA-15232/2071922951_zpid/,15232
84,"$345,000",3,2,"1,276","5612 Maple Heights Ct #C,Shadyside, PA 15232","$330,800",Single family residence,Built in 1950,"Natural gas, baseboard",Central air,1 Attached garage space,"4,173 sqft",$270 price/sqft,https://www.zillow.com/homedetails/5612-Maple-Heights-Ct-C-Shadyside-PA-15232/2084195743_zpid/,15232
85,"$875,000",4,4,--,"930 S Aiken Ave,Pittsburgh, PA 15232","$830,400",Single family residence,Built in 1860,"Natural gas, forced air",Central air,2 Attached garage spaces,"3,784 sqft",,https://www.zillow.com/homedetails/930-S-Aiken-Ave-Pittsburgh-PA-15232/11529349_zpid/,15232
86,"$595,000",5,3,--,"6227 5th Ave,Pittsburgh, PA 15232","$573,100",Single family residence,Built in 1926,"Natural gas, forced air",Central air,3 Attached garage spaces,"4,369 sqft",,https://www.zillow.com/homedetails/6227-5th-Ave-Pittsburgh-PA-15232/11625585_zpid/,15232
87,"$1,700,000",6,5,"5,744","5039 Amberson Pl,Pittsburgh, PA 15232","$1,597,000",Single family residence,Built in 1900,"Natural gas, hot water",No data,2 Attached garage spaces,No data,$296 price/sqft,https://www.zillow.com/homedetails/5039-Amberson-Pl-Pittsburgh-PA-15232/11529107_zpid/,15232
88,"$674,900",--,--,--,"5553 Black St,Pittsburgh, PA 15206","$656,400",Single family residence,Built in 1907,No data,No data,2 Garage spaces,,,https://www.zillow.com/homedetails/5553-Black-St-Pittsburgh-PA-15206/11622920_zpid/,15206
89,"$2,800,000",9,8,--,"1054 Beechwood Blvd,Pittsburgh, PA 15206",None ,Single family residence,Built in 1905,"Natural gas, hot water","Central air, window a/c",5 Garage spaces,0.57 Acres,,https://www.zillow.com/homedetails/1054-Beechwood-Blvd-Pittsburgh-PA-15206/11629038_zpid/,15206
90,"$424,700",6,4,"2,515","5810 Rippey St,Pittsburgh, PA 15206","$411,800",Single family residence,Built in 1920,Natural gas,Central air,2 Open parking spaces,"2,252 sqft",$169 price/sqft,https://www.zillow.com/homedetails/5810-Rippey-St-Pittsburgh-PA-15206/11623327_zpid/,15206
91,"$249,000",3,1,"1,160","1161 Chislett St,Pittsburgh, PA 15206","$240,200",Single family residence,Built in 1930,No data,Window a/c,Open parking,"2,500 sqft",$215 price/sqft,https://www.zillow.com/homedetails/1161-Chislett-St-Pittsburgh-PA-15206/11619741_zpid/,15206
92,"$160,000",3,1,"1,200","220 Shetland St,Pittsburgh, PA 15206","$149,200",Single family residence,Built in 1910,"Electric, baseboard",Other,4 Open parking spaces,797.15 Sqft,$133 price/sqft,https://www.zillow.com/homedetails/220-Shetland-St-Pittsburgh-PA-15206/11285209_zpid/,15206
93,"$249,900",3,2,"1,210","1600 Trinity St,Pittsburgh, PA 15206","$239,700",Single family residence,Built in 1945,"Natural gas, forced air",Central air,1 Attached garage space,"3,001 sqft",$207 price/sqft,https://www.zillow.com/homedetails/1600-Trinity-St-Pittsburgh-PA-15206/11278260_zpid/,15206
94,"$249,000",3,1,--,"1024 Morningside Ave,Pittsburgh, PA 15206","$243,000",Single family residence,Built in 1940,"Natural gas, hot water",Other,Open parking,"2,600 sqft",,https://www.zillow.com/homedetails/1024-Morningside-Ave-Pittsburgh-PA-15206/11619662_zpid/,15206
