,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
50,"$159,900",4,2,"1,470","174 Summerfield Dr,Homestead, PA 15120","$159,900",Single family residence,Built in 1947,Natural gas,No data,1 Attached garage space,"6,200 sqft",$109 price/sqft,https://www.zillow.com/homedetails/174-Summerfield-Dr-Homestead-PA-15120/11297013_zpid/,15120
51,"$279,900",4,3,"2,098","106 E James St,Homestead, PA 15120","$279,900",Single family residence,Built in 1950,"Natural gas, hot water",Wall unit(s),1 Attached garage space,"7,500 sqft",$133 price/sqft,https://www.zillow.com/homedetails/106-E-James-St-Homestead-PA-15120/11294921_zpid/,15120
52,"$230,000",3,3,"1,544","517 Brierly Ln,Homestead, PA 15120","$230,100",Single family residence,Built in 1958,"Natural gas, forced air",Central air,2 Attached garage spaces,No data,$149 price/sqft,https://www.zillow.com/homedetails/517-Brierly-Ln-Homestead-PA-15120/11296969_zpid/,15120
53,"$56,500",3,1,--,"336 W 12th Ave,Homestead, PA 15120","$55,800",Single family residence,Built in 1930,"Natural gas, forced air",Window a/c,Open parking,"2,199 sqft",,https://www.zillow.com/homedetails/336-W-12th-Ave-Homestead-PA-15120/11293707_zpid/,15120
54,"$69,900",4,2,"2,013","702 E 12th Ave,Homestead, PA 15120",Contact Agent,Single family residence,Built in 1900,"Natural gas, forced air",No data,Open parking,"2,750 sqft",$35 price/sqft,https://www.zillow.com/homedetails/702-E-12th-Ave-Homestead-PA-15120/11292790_zpid/,15120
55,"$245,000",--,--,--,"311 E 10th Ave,Homestead, PA 15120","$238,900",Triplex,Built in 1900,No data,No data,5 Parking spaces,,,https://www.zillow.com/homedetails/311-E-10th-Ave-Homestead-PA-15120/11292290_zpid/,15120
56,"$134,900",3,1,"1,200","2436 Perry St,Homestead, PA 15120","$107,200",Single family residence,Built in 1920,"Natural gas, forced air",Central air,No data,"4,395 sqft",$112 price/sqft,https://www.zillow.com/homedetails/2436-Perry-St-Homestead-PA-15120/11348372_zpid/,15120
57,"$74,500",3,1,"1,347","1219 Glenn St,Homestead, PA 15120","$71,800",Single family residence,Built in 1960,Natural gas,No data,No data,"4,159 sqft",$55 price/sqft,https://www.zillow.com/homedetails/1219-Glenn-St-Homestead-PA-15120/11292533_zpid/,15120
58,"$25,000",--,--,--,"402 W 8th Ave,West Homestead, PA 15120",None ,Single family residence,Built in 1900,No data,No data,No data,No data,,https://www.zillow.com/homedetails/402-W-8th-Ave-West-Homestead-PA-15120/2100278078_zpid/,15120
59,"$50,000",3,2,"1,584","304 Walnut St,Homestead, PA 15120",None ,Single family residence,Built in 1911,"Natural gas, forced air",Window a/c,2 Open parking spaces,840 Sqft,$32 price/sqft,https://www.zillow.com/homedetails/304-Walnut-St-Homestead-PA-15120/11292821_zpid/,15120
60,"$149,000",2,1,--,"208 E 19th Ave,Homestead, PA 15120","$148,800",Single family residence,Built in 1925,"Natural gas, forced air",Central air,1 Garage space,"3,108 sqft",,https://www.zillow.com/homedetails/208-E-19th-Ave-Homestead-PA-15120/11293908_zpid/,15120
61,"$115,000",2,1,--,"345 W 13th Ave,Homestead, PA 15120","$103,100",Singlefamily,Built in 1927,"Natural gas, forced air",No data,Open parking,No data,,https://www.zillow.com/homedetails/345-W-13th-Ave-Homestead-PA-15120/11293682_zpid/,15120
62,"$39,900",2,1,870,"236 E 18th Ave,Homestead, PA 15120",None ,Single family residence,Built in 1890,"Natural gas, forced air",No data,Open parking,"2,191 sqft",$46 price/sqft,https://www.zillow.com/homedetails/236-E-18th-Ave-Homestead-PA-15120/11294027_zpid/,15120
63,"$299,900",3,3,"1,700","217 Roberta Dr,Homestead, PA 15120","$315,700",Single family residence,Built in 1940,"Natural gas, forced air",Central air,1 Attached garage space,"9,578 sqft",$176 price/sqft,https://www.zillow.com/homedetails/217-Roberta-Dr-Homestead-PA-15120/11297002_zpid/,15120
64,"$199,825",3,2,"2,188","122 E Virginia Ave,Homestead, PA 15120","$199,800",Single family residence,Built in 1908,"Natural gas, hot water",No data,2 Parking spaces,"5,000 sqft",$91 price/sqft,https://www.zillow.com/homedetails/122-E-Virginia-Ave-Homestead-PA-15120/11295510_zpid/,15120
65,"$129,900",2,2,"1,618","218 Vondera St,Homestead, PA 15120","$128,000",Single family residence,Built in 1920,"Natural gas, forced air",Window a/c,2 Garage spaces,"6,821 sqft",$80 price/sqft,https://www.zillow.com/homedetails/218-Vondera-St-Homestead-PA-15120/11348357_zpid/,15120
66,"$185,000",2,1,"1,114","5315 Wickliff St,Pittsburgh, PA 15201","$179,300",Single family residence,Built in 1900,"Natural gas, forced air",No data,Open parking,"1,559 sqft",$166 price/sqft,https://www.zillow.com/homedetails/5315-Wickliff-St-Pittsburgh-PA-15201/11614864_zpid/,15201
67,"$395,000",2,3,--,"295 45th St,Pittsburgh, PA 15201","$383,600",Single family residence,Built in 1900,"Natural gas, forced air",Central air,3 Parking spaces,"2,639 sqft",,https://www.zillow.com/homedetails/295-45th-St-Pittsburgh-PA-15201/11513157_zpid/,15201
68,"$144,900",2,1,"1,216","5627 Carnegie St,Pittsburgh, PA 15201","$142,200",Single family residence,Built in 1900,"Natural gas, forced air",No data,Open parking,"1,498 sqft",$119 price/sqft,https://www.zillow.com/homedetails/5627-Carnegie-St-Pittsburgh-PA-15201/11275195_zpid/,15201
69,"$445,000",2,2,"1,600","335 39th St,Pittsburgh, PA 15201","$414,800",Single family residence,Built in 1900,"Natural gas, forced air",Central air,Open parking,760 Sqft,$278 price/sqft,https://www.zillow.com/homedetails/335-39th-St-Pittsburgh-PA-15201/11514635_zpid/,15201
70,"$349,000",--,--,--,"122 43rd St,Pittsburgh, PA 15201","$338,800",Duplex,Built in 1865,No data,No data,Open parking,,,https://www.zillow.com/homedetails/122-43rd-St-Pittsburgh-PA-15201/11512666_zpid/,15201
71,"$284,900",3,2,"1,276","1560 Hawthorne St,Pittsburgh, PA 15201","$284,600",Single family residence,Built in 1944,"Natural gas, forced air",Central air,1 Attached garage space,"4,656 sqft",$223 price/sqft,https://www.zillow.com/homedetails/1560-Hawthorne-St-Pittsburgh-PA-15201/11275460_zpid/,15201
72,"$249,500",3,1,"1,250","1621 Hawthorne St,Pittsburgh, PA 15201","$249,400",Single family residence,Built in 1945,"Natural gas, forced air",Central air,1 Attached garage space,"3,497 sqft",$200 price/sqft,https://www.zillow.com/homedetails/1621-Hawthorne-St-Pittsburgh-PA-15201/11275158_zpid/,15201
73,"$225,000",1,2,--,"5623 Donson Way,Pittsburgh, PA 15201","$214,700",Single family residence,Built in 1900,"Natural gas, forced air",Central air,1 Parking space,"1,197 sqft",,https://www.zillow.com/homedetails/5623-Donson-Way-Pittsburgh-PA-15201/11275194_zpid/,15201
74,"$224,000",3,1,"1,214","6048 Sawyer St,Pittsburgh, PA 15201",None ,Single family residence,Built in 1898,Natural gas,"Central air, electric",2 Parking spaces,"2,400 sqft",$185 price/sqft,https://www.zillow.com/homedetails/6048-Sawyer-St-Pittsburgh-PA-15201/11275333_zpid/,15201
75,"$659,000",4,4,"2,800","5121 Keystone St,Pittsburgh, PA 15201","$641,300",Single family residence,Built in 2020,Natural gas,Central air,2 Parking spaces,"1,999 sqft",$235 price/sqft,https://www.zillow.com/homedetails/5121-Keystone-St-Pittsburgh-PA-15201/11612724_zpid/,15201
76,"$245,000",3,2,"2,231","6026 Sawyer St,Pittsburgh, PA 15201",None ,Single family residence,Built in 1890,"Natural gas, forced air",Central air,2 Parking spaces,No data,$110 price/sqft,https://www.zillow.com/homedetails/6026-Sawyer-St-Pittsburgh-PA-15201/11275217_zpid/,15201
77,"$339,000",2,2,--,"177 Almond Way,Pittsburgh, PA 15201","$327,700",Single family residence,Built in 1880,"Natural gas, forced air",Central air,Other,689.11 Sqft,,https://www.zillow.com/homedetails/177-Almond-Way-Pittsburgh-PA-15201/2067893078_zpid/,15201
78,"$215,000",1,1,720,"113 43rd 1/2 St,Pittsburgh, PA 15201","$207,800",Single family residence,Built in 1905,"Natural gas, forced air",Central air,Open parking,505.30 Sqft,$299 price/sqft,https://www.zillow.com/homedetails/113-43rd-1-2-St-Pittsburgh-PA-15201/87987931_zpid/,15201
79,"$425,000",3,3,"1,350","194 43 1/2 St,Pittsburgh, PA 15201","$409,400",Single family residence,Built in 1900,"Natural gas, forced air",No data,1 Parking space,"1,084 sqft",$315 price/sqft,https://www.zillow.com/homedetails/194-43-1-2-St-Pittsburgh-PA-15201/2068944024_zpid/,15201
80,"$369,900",4,3,"2,288","5136 Rosecrest Dr,Pittsburgh, PA 15201","$369,900",Single family residence,Built in 1960,Natural gas,Central air,2 Attached garage spaces,"8,006 sqft",$162 price/sqft,https://www.zillow.com/homedetails/5136-Rosecrest-Dr-Pittsburgh-PA-15201/11615910_zpid/,15201
81,"$475,000",--,--,--,"421 52nd St,Pittsburgh, PA 15201","$445,200",Triplex,Built in 1900,No data,No data,1 Attached garage space,,,https://www.zillow.com/homedetails/421-52nd-St-Pittsburgh-PA-15201/2085857895_zpid/,15201
